Nama Player,Skor Akhir,Waktu Bermain Selesai,,
 Rachmat,5,Monday, 10 Jan 2022, 08:09:25
,,,,
 Anonymu,5,Monday, 10 Jan 2022, 08:09:25
,,,,
Nama Player,Skor,Waktu Bermain Selesai,,
 Police,7,Monday, 10 Jan 2022, 08:42:28
,,,,
 Pol,7,Monday, 10 Jan 2022, 08:42:28
,,,,
Nama Player,Skor,Waktu Bermain Selesai,,
 Putra,25,Monday, 10 Jan 2022, 08:47:57
,,,,
 Bangsa,30,Monday, 10 Jan 2022, 08:47:57
,,,,
Nama Player,Skor,Waktu Bermain Selesai,,
 Putin,25,Monday, 10 Jan 2022, 08:54:44
,,,,
 Jinping,32,Monday, 10 Jan 2022, 08:54:44
,,,,
Nama Player,Skor,Waktu Bermain Selesai,,
 Optic,3,Monday, 10 Jan 2022, 09:02:54
,,,,
 Genre,4,Monday, 10 Jan 2022, 09:02:54
,,,,
Nama Player,Skor,Waktu Bermain Selesai,,
 Ferdy,5,Monday, 10 Jan 2022, 09:05:21
,,,,
 Ghessa,4,Monday, 10 Jan 2022, 09:05:21
Nama Player,Skor,Waktu Bermain Selesai
 P,5,Monday, 10 Jan 2022, 12:17:21

 a,6,Monday, 10 Jan 2022, 12:17:21

Nama Player,Skor,Waktu Bermain Selesai
 Ab,13,Monday, 10 Jan 2022, 12:31:12

 BC,19,Monday, 10 Jan 2022, 12:31:12

Nama Player,Skor,Waktu Bermain Selesai
 ferdy,9,Monday, 10 Jan 2022, 18:02:46

 ghessa,0,Monday, 10 Jan 2022, 18:02:46

